Rank,Team,G,Opp 3rd Conv,Opp 3rd Att,Pct
1,Duke,4,7,50,.140
2,Southern Miss.,3,6,41,.146
3,UCF,2,4,25,.160
4,UTSA,3,6,35,.171
5,Michigan,4,11,57,.193
6,Virginia Tech,4,16,66,.242
7,Syracuse,4,14,56,.250
8,Virginia,4,14,54,.259
9,Michigan St.,3,11,42,.262
-,Minnesota,3,11,42,.262
11,Vanderbilt,4,15,57,.263
12,Mississippi St.,4,14,53,.264
13,Georgia Tech,3,9,34,.265
14,Iowa,4,15,56,.268
15,Texas,3,11,41,.268
16,Oregon,4,18,67,.269
17,Texas St.,4,14,51,.275
18,Air Force,3,11,39,.282
19,Wisconsin,3,12,42,.286
-,Florida St.,2,8,28,.286
21,Clemson,4,19,66,.288
22,New Mexico St.,4,17,59,.288
23,Georgia St.,3,11,38,.289
24,Idaho,4,18,61,.295
25,Florida,3,13,44,.295
26,Colorado,4,17,57,.298
27,Ohio,4,18,60,.300
28,Rutgers,4,19,63,.302
29,Washington St.,4,16,53,.302
30,Fresno St.,3,10,33,.303
31,Akron,4,15,49,.306
32,Auburn,4,19,62,.306
33,Central Mich.,4,20,65,.308
34,South Fla.,4,21,68,.309
35,Ole Miss,3,14,45,.311
36,Kentucky,4,18,57,.316
37,Navy,3,13,41,.317
38,Utah,4,20,63,.317
-,West Virginia,4,20,63,.317
40,Wake Forest,4,22,69,.319
41,Cincinnati,4,17,53,.321
42,TCU,4,18,56,.321
-,Texas A&M;,4,18,56,.321
44,Georgia,4,20,62,.323
45,Army West Point,4,14,43,.326
46,Appalachian St.,4,20,61,.328
47,Washington,4,21,64,.328
48,Northern Ill.,3,20,60,.333
49,Ohio St.,4,20,59,.339
50,Houston,3,16,47,.340
51,Notre Dame,4,24,70,.343
52,Southern California,4,21,61,.344
53,Eastern Mich.,3,18,52,.346
54,Penn St.,4,23,66,.348
55,Alabama,4,18,51,.353
56,La.-Monroe,3,16,45,.356
57,Buffalo,4,21,59,.356
58,LSU,4,20,56,.357
-,Arizona,4,20,56,.357
-,Marshall,3,15,42,.357
61,Indiana,3,21,58,.362
62,Purdue,4,20,55,.364
63,New Mexico,4,22,60,.367
64,Ga. Southern,3,15,40,.375
65,Temple,4,22,58,.379
66,Kansas St.,3,18,47,.383
67,Nebraska,4,20,52,.385
-,Toledo,4,20,52,.385
-,San Diego St.,4,20,52,.385
70,Utah St.,4,22,57,.386
71,Oklahoma,4,24,62,.387
72,Western Mich.,4,19,49,.388
73,Middle Tenn.,4,26,67,.388
-,Boston College,4,26,67,.388
75,SMU,4,21,54,.389
76,UNLV,3,18,46,.391
77,Ball St.,4,20,51,.392
78,Louisville,4,22,56,.393
79,Massachusetts,5,32,81,.395
80,FIU,3,17,43,.395
81,Texas Tech,3,19,48,.396
82,Boise St.,4,25,63,.397
83,UCLA,4,24,60,.400
-,Kansas,4,22,55,.400
85,San Jose St.,5,35,87,.402
86,North Carolina,4,27,67,.403
87,Tennessee,4,23,57,.404
-,NC State,4,23,57,.404
89,South Ala.,4,21,52,.404
90,UAB,4,24,59,.407
91,Arkansas St.,3,19,46,.413
92,California,4,27,65,.415
93,BYU,4,23,55,.418
94,Miami (OH),4,26,62,.419
-,Fla. Atlantic,4,26,62,.419
96,Kent St.,4,21,50,.420
97,Old Dominion,4,27,64,.422
98,Arkansas,3,19,45,.422
-,UConn,3,19,45,.422
100,Louisiana Tech,4,22,52,.423
101,Tulane,4,22,51,.431
102,Baylor,4,30,68,.441
103,Stanford,4,25,56,.446
104,Troy,4,30,67,.448
105,Western Ky.,4,27,60,.450
106,Wyoming,4,28,62,.452
107,Arizona St.,4,25,55,.455
108,Maryland,3,23,50,.460
109,South Carolina,4,29,63,.460
110,Nevada,4,31,66,.470
111,Pittsburgh,4,24,51,.471
112,Oklahoma St.,4,33,70,.471
113,Northwestern,3,25,53,.472
114,Charlotte,4,26,55,.473
115,Iowa St.,3,21,44,.477
116,Hawaii,4,26,54,.481
117,Tulsa,4,21,43,.488
118,Rice,4,25,51,.490
119,Missouri,4,31,63,.492
120,North Texas,4,36,73,.493
121,Colorado St.,4,29,58,.500
-,East Carolina,4,26,52,.500
123,Memphis,3,28,55,.509
124,Illinois,3,26,51,.510
125,UTEP,4,25,49,.510
126,Oregon St.,4,27,52,.519
127,Miami (FL),2,21,40,.525
128,Louisiana,4,33,61,.541
129,Bowling Green,4,30,54,.556
