Rank,Team,G,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,Central Mich.,2,102,8,6,0
-,South Fla.,3,124,8,127,0
3,Colorado St.,3,121,7,72,1
4,Oregon,2,89,6,89,0
5,Eastern Mich.,2,67,5,113,1
-,Arizona,3,121,5,58,0
7,Wake Forest,2,50,4,89,1
-,Washington,2,66,4,89,1
-,Utah,2,70,4,52,0
-,Boise St.,3,117,4,2,0
11,Stanford,2,50,3,34,0
-,Duke,2,51,3,28,1
-,Vanderbilt,2,52,3,37,0
-,Western Mich.,2,54,3,20,0
-,LSU,2,56,3,0,0
-,Akron,2,56,3,30,1
-,Kansas St.,2,60,3,37,1
-,Louisiana Tech,2,60,3,87,0
-,Wisconsin,2,60,3,105,1
-,Colorado,2,65,3,41,0
-,Penn St.,2,70,3,43,0
-,Northern Ill.,2,74,3,27,0
-,Alabama,2,74,3,30,0
-,Oregon St.,3,75,3,38,1
-,SMU,2,78,3,88,1
-,Iowa St.,2,79,3,34,2
-,Iowa,2,86,3,59,0
-,Maryland,2,89,3,75,1
-,Louisville,2,95,3,61,1
-,Nebraska,2,101,3,27,0
-,Illinois,3,109,3,31,1
-,New Mexico,3,131,3,125,1
33,Wyoming,2,22,2,0,0
-,Florida,1,26,2,89,2
-,Texas Tech,1,36,2,35,1
-,Appalachian St.,2,38,2,26,0
-,Tulane,2,39,2,8,0
-,Washington St.,2,40,2,36,1
-,Fla. Atlantic,2,40,2,15,0
-,Virginia,2,43,2,3,0
-,Texas,2,44,2,76,2
-,Southern Miss.,2,46,2,46,1
-,Navy,2,46,2,23,0
-,Miami (OH),2,48,2,0,0
-,Toledo,2,51,2,7,0
-,Georgia Tech,2,51,2,21,0
-,Utah St.,2,54,2,25,1
-,San Diego St.,2,57,2,5,0
-,Michigan St.,2,58,2,38,1
-,Kent St.,2,58,2,6,0
-,UNLV,2,60,2,22,0
-,Pittsburgh,2,60,2,2,0
-,Tulsa,2,60,2,0,0
-,Michigan,2,66,2,52,2
-,New Mexico St.,2,68,2,29,0
-,Virginia Tech,2,71,2,63,0
-,NC State,2,72,2,4,0
-,West Virginia,2,74,2,1,0
-,Arizona St.,2,76,2,49,1
-,North Carolina,2,77,2,73,0
-,North Texas,2,82,2,0,0
-,Northwestern,2,82,2,0,0
-,California,2,89,2,42,0
-,South Carolina,2,96,2,1,0
-,Ohio St.,2,103,2,40,0
-,Hawaii,3,104,2,25,0
67,Air Force,1,19,1,34,0
-,La.-Monroe,1,25,1,18,0
-,UTSA,1,27,1,2,0
-,UCF,1,31,1,29,0
-,Houston,1,37,1,0,0
-,Memphis,1,37,1,0,0
-,TCU,2,37,1,53,1
-,Mississippi St.,2,38,1,32,0
-,Miami (FL),1,39,1,24,0
-,Buffalo,2,40,1,0,0
-,Auburn,2,40,1,0,0
-,Idaho,2,41,1,10,0
-,Ball St.,2,43,1,0,0
-,Louisiana,2,45,1,5,0
-,Ga. Southern,2,48,1,0,0
-,Cincinnati,2,48,1,2,0
-,Ole Miss,2,48,1,0,0
-,Southern California,2,51,1,37,1
-,Charlotte,2,54,1,0,0
-,Army West Point,2,57,1,27,0
-,Boston College,2,58,1,0,0
-,East Carolina,2,58,1,-3,0
-,Fresno St.,2,58,1,0,0
-,Troy,2,60,1,53,1
-,Arkansas,2,60,1,16,0
-,Oklahoma St.,2,62,1,25,1
-,Oklahoma,2,62,1,0,0
-,Syracuse,2,63,1,15,0
-,Missouri,2,63,1,-5,0
-,UAB,2,64,1,27,1
-,Notre Dame,2,64,1,0,0
-,Nevada,2,65,1,3,0
-,FIU,2,67,1,33,0
-,Old Dominion,2,68,1,0,0
-,UCLA,2,69,1,30,1
-,Minnesota,2,71,1,0,0
-,Middle Tenn.,2,72,1,0,0
-,Western Ky.,2,73,1,1,0
-,Marshall,2,80,1,72,1
-,Kentucky,2,83,1,0,0
-,Texas A&M;,2,84,1,1,0
-,BYU,3,91,1,27,0
-,Temple,3,110,1,43,0
-,Massachusetts,4,124,1,0,0
