Rank,Team,G,Opp Pass,Opp Int
1,Central Mich.,3,137,9
2,South Fla.,3,124,8
3,Oregon,3,114,7
-,Colorado St.,4,142,7
5,Duke,3,85,6
-,Penn St.,3,102,6
-,Utah,3,105,6
-,Northern Ill.,3,121,6
9,Florida,2,65,5
-,Eastern Mich.,2,67,5
-,Vanderbilt,3,80,5
-,Wisconsin,3,80,5
-,Wake Forest,3,87,5
-,Washington,3,102,5
-,Alabama,3,112,5
-,Arizona,3,121,5
-,Iowa St.,3,123,5
-,California,3,133,5
19,UTSA,2,53,4
-,San Diego St.,3,77,4
-,Western Mich.,3,80,4
-,UAB,3,87,4
-,Miami (OH),3,91,4
-,Texas,3,95,4
-,Colorado,3,102,4
-,Iowa,3,115,4
-,Boise St.,3,117,4
-,Texas A&M;,3,128,4
29,Wyoming,3,52,3
-,Arkansas St.,2,58,3
-,Fla. Atlantic,3,62,3
-,Virginia,3,69,3
-,Appalachian St.,3,73,3
-,Michigan,3,75,3
-,TCU,3,75,3
-,Ball St.,3,78,3
-,Stanford,3,79,3
-,LSU,3,79,3
-,Kansas St.,3,83,3
-,Akron,3,89,3
-,Maryland,2,89,3
-,West Virginia,3,90,3
-,Rutgers,3,90,3
-,Southern California,3,91,3
-,NC State,3,91,3
-,Memphis,2,93,3
-,Tulsa,3,93,3
-,Louisiana Tech,3,95,3
-,Ole Miss,3,96,3
-,Oklahoma St.,3,97,3
-,Pittsburgh,3,97,3
-,Kent St.,3,101,3
-,Virginia Tech,3,101,3
-,Notre Dame,3,105,3
-,UCLA,3,108,3
-,SMU,3,108,3
-,North Carolina,3,109,3
-,Illinois,3,109,3
-,Syracuse,3,109,3
-,Minnesota,3,113,3
-,Kentucky,3,120,3
-,South Carolina,3,122,3
-,Nebraska,3,124,3
-,Louisville,3,128,3
-,New Mexico,3,131,3
-,Oregon St.,4,133,3
67,Navy,2,46,2
-,Georgia Tech,2,51,2
-,La.-Monroe,2,57,2
-,Michigan St.,2,58,2
-,UNLV,2,60,2
-,Houston,2,62,2
-,Tulane,3,69,2
-,Toledo,3,71,2
-,Southern Miss.,3,73,2
-,Oklahoma,3,74,2
-,Washington St.,3,77,2
-,Texas Tech,2,77,2
-,Cincinnati,3,79,2
-,Louisiana,3,79,2
-,Utah St.,3,81,2
-,Boston College,3,85,2
-,Missouri,3,97,2
-,Marshall,3,97,2
-,Purdue,3,103,2
-,Hawaii,3,104,2
-,New Mexico St.,3,108,2
-,North Texas,3,109,2
-,Ohio St.,3,111,2
-,Western Ky.,3,112,2
-,Northwestern,3,126,2
-,Arizona St.,3,126,2
93,UCF,1,31,1
-,Miami (FL),1,39,1
-,Air Force,2,42,1
-,Ga. Southern,2,48,1
-,Tennessee,3,57,1
-,Arkansas,2,60,1
-,Buffalo,3,63,1
-,Mississippi St.,3,67,1
-,FIU,2,67,1
-,Clemson,3,71,1
-,Idaho,3,72,1
-,Auburn,3,72,1
-,Charlotte,3,80,1
-,Fresno St.,3,86,1
-,Middle Tenn.,3,90,1
-,East Carolina,3,91,1
-,Old Dominion,3,94,1
-,Army West Point,3,94,1
-,Ohio,3,95,1
-,UConn,2,96,1
-,Kansas,3,102,1
-,Nevada,3,103,1
-,South Ala.,3,104,1
-,Troy,3,105,1
-,San Jose St.,4,109,1
-,Temple,3,110,1
-,BYU,4,110,1
-,Baylor,3,115,1
-,Massachusetts,4,124,1
