Rank,Team,G,Opp Sacks,Opp Sack Yds,Avg
1,Miami (FL),1,0,0,.00
-,Army West Point,3,0,0,.00
-,UCF,1,0,0,.00
4,Minnesota,3,1,11,.33
-,Mississippi St.,3,1,2,.33
-,Iowa St.,3,1,10,.33
7,UNLV,2,1,6,.50
-,Colorado St.,4,2,18,.50
9,Vanderbilt,3,2,8,.67
-,Ohio,3,2,12,.67
-,Tennessee,3,2,13,.67
-,Central Mich.,3,2,10,.67
-,Washington,3,2,15,.67
-,Missouri,3,2,12,.67
-,Marshall,3,2,19,.67
-,Penn St.,3,2,17,.67
17,Michigan St.,2,2,10,1.00
-,Northern Ill.,3,3,15,1.00
-,Oregon,3,3,18,1.00
-,Rutgers,3,3,25,1.00
-,SMU,3,3,16,1.00
-,Toledo,3,3,17,1.00
-,Alabama,3,3,16,1.00
-,Tulsa,3,3,17,1.00
-,Appalachian St.,3,3,23,1.00
-,Arizona,3,3,19,1.00
-,Ball St.,3,3,19,1.00
-,Buffalo,3,3,25,1.00
-,Fresno St.,3,3,16,1.00
-,Georgia Tech,2,2,11,1.00
-,Georgia,3,3,9,1.00
-,Houston,2,2,17,1.00
-,UConn,2,2,12,1.00
-,East Carolina,3,3,25,1.00
-,Eastern Mich.,2,2,13,1.00
-,Virginia Tech,3,3,18,1.00
37,Oklahoma,3,4,29,1.33
-,Iowa,3,4,26,1.33
-,Wisconsin,3,4,30,1.33
-,West Virginia,3,4,15,1.33
-,Boston College,3,4,23,1.33
-,Oklahoma St.,3,4,13,1.33
-,Louisiana,3,4,34,1.33
-,TCU,3,4,19,1.33
-,Utah,3,4,27,1.33
-,Kansas St.,3,4,11,1.33
-,LSU,3,4,27,1.33
-,Old Dominion,3,4,40,1.33
49,Memphis,2,3,14,1.50
-,Navy,2,3,22,1.50
-,La.-Monroe,2,3,34,1.50
-,FIU,2,3,38,1.50
-,Maryland,2,3,15,1.50
54,Utah St.,3,5,29,1.67
-,Tulane,3,5,43,1.67
-,Troy,3,5,21,1.67
-,North Carolina,3,5,42,1.67
-,New Mexico,3,5,37,1.67
-,Nevada,3,5,22,1.67
-,Wyoming,3,5,35,1.67
-,Wake Forest,3,5,32,1.67
-,Virginia,3,5,36,1.67
-,Kentucky,3,5,40,1.67
-,Cincinnati,3,5,34,1.67
-,California,3,5,32,1.67
66,Oregon St.,4,7,30,1.75
67,Nebraska,3,6,48,2.00
-,Louisiana Tech,3,6,39,2.00
-,Notre Dame,3,6,33,2.00
-,Ohio St.,3,6,31,2.00
-,Arkansas St.,2,4,22,2.00
-,South Carolina,3,6,34,2.00
-,South Ala.,3,6,44,2.00
-,Southern California,3,6,45,2.00
-,Temple,3,6,31,2.00
-,Syracuse,3,6,42,2.00
77,San Jose St.,4,9,70,2.25
-,BYU,4,9,74,2.25
79,Middle Tenn.,3,7,50,2.33
-,Northwestern,3,7,65,2.33
-,NC State,3,7,47,2.33
-,Southern Miss.,3,7,52,2.33
-,Louisville,3,7,30,2.33
-,Kent St.,3,7,26,2.33
-,Rice,3,7,27,2.33
-,UTEP,3,7,56,2.33
-,Hawaii,3,7,54,2.33
-,Illinois,3,7,39,2.33
-,New Mexico St.,3,7,31,2.33
-,UCLA,3,7,58,2.33
-,Western Mich.,3,7,37,2.33
-,Duke,3,7,47,2.33
93,Arkansas,2,5,22,2.50
-,Texas Tech,2,5,44,2.50
-,UTSA,2,5,36,2.50
-,Air Force,2,5,43,2.50
97,UAB,3,8,68,2.67
-,Michigan,3,8,41,2.67
-,Bowling Green,3,8,55,2.67
-,North Texas,3,8,50,2.67
-,Baylor,3,8,49,2.67
-,Ole Miss,3,8,57,2.67
-,Clemson,3,8,60,2.67
-,South Fla.,3,8,40,2.67
-,Stanford,3,8,60,2.67
-,Akron,3,8,42,2.67
-,Kansas,3,8,56,2.67
-,Purdue,3,8,40,2.67
109,Idaho,3,9,79,3.00
-,Charlotte,3,9,59,3.00
-,Miami (OH),3,9,62,3.00
-,Boise St.,3,9,49,3.00
-,Colorado,3,9,68,3.00
-,Florida St.,1,3,20,3.00
-,Fla. Atlantic,3,9,43,3.00
-,Georgia St.,2,6,34,3.00
117,Texas,3,10,54,3.33
-,Washington St.,3,10,81,3.33
-,Western Ky.,3,10,74,3.33
-,Texas St.,3,10,55,3.33
-,Pittsburgh,3,10,89,3.33
122,Texas A&M;,3,11,73,3.67
123,San Diego St.,3,12,67,4.00
-,Florida,2,8,59,4.00
125,Indiana,2,9,61,4.50
126,Arizona St.,3,15,99,5.00
-,Auburn,3,15,86,5.00
128,Ga. Southern,2,11,75,5.50
129,Massachusetts,4,23,125,5.75
