Rank,Team,G,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,Vanderbilt,3,2,1,0,0,0,0,13,4.3
2,Penn St.,3,1,0,1,0,2,0,14,4.7
3,Minnesota,3,3,3,0,0,1,0,24,8.0
4,Wake Forest,3,3,3,0,0,2,0,27,9.0
-,Colorado,3,3,3,0,0,2,0,27,9.0
6,Mississippi St.,3,3,2,0,1,2,0,28,9.3
7,Houston,2,1,1,0,0,4,0,19,9.5
8,Wisconsin,3,3,3,0,0,3,0,30,10.0
-,Eastern Mich.,2,2,2,0,0,2,0,20,10.0
-,Clemson,3,3,3,0,0,3,0,30,10.0
11,Auburn,3,4,4,0,0,1,0,31,10.3
12,Michigan St.,2,3,3,0,0,1,0,24,12.0
13,Washington,3,4,4,0,0,3,0,37,12.3
-,Oklahoma,3,4,4,0,0,3,0,37,12.3
15,Miami (FL),1,1,1,0,0,2,0,13,13.0
16,Alabama,3,5,4,0,0,2,0,40,13.3
-,Kansas St.,3,5,4,0,0,2,0,40,13.3
18,UTSA,2,3,3,0,0,2,0,27,13.5
19,Southern Miss.,3,5,5,0,0,2,0,41,13.7
-,Virginia Tech,3,5,5,0,0,2,0,41,13.7
21,Georgia,3,4,4,0,0,5,0,43,14.3
-,TCU,3,5,4,0,0,3,0,43,14.3
23,Air Force,2,2,2,0,0,5,0,29,14.5
24,Michigan,3,5,5,0,0,3,0,44,14.7
-,Duke,3,6,5,0,0,1,0,44,14.7
26,Utah,3,4,3,0,0,6,0,45,15.0
27,Kentucky,3,6,4,0,0,2,0,46,15.3
-,Rutgers,3,4,4,0,0,6,0,46,15.3
29,LSU,3,5,5,0,0,4,0,47,15.7
30,Buffalo,3,6,6,0,0,2,0,48,16.0
31,Northern Ill.,3,5,5,0,0,5,0,50,16.7
32,UCF,1,2,2,0,0,1,0,17,17.0
-,Appalachian St.,3,6,6,0,0,3,0,51,17.0
34,Oklahoma St.,3,7,7,0,0,1,0,52,17.3
35,Arkansas,2,5,5,0,0,0,0,35,17.5
36,Syracuse,3,7,7,0,0,1,1,54,18.0
-,San Diego St.,3,7,6,0,0,2,0,54,18.0
38,Troy,3,7,5,1,0,2,0,55,18.3
39,Notre Dame,3,6,5,0,0,5,0,56,18.7
40,Iowa,3,7,7,0,0,3,0,58,19.3
41,Arizona,3,7,6,0,0,3,1,59,19.7
-,Purdue,3,7,5,0,0,4,0,59,19.7
-,Ohio St.,3,8,8,0,0,1,0,59,19.7
44,Navy,2,5,2,1,0,2,0,40,20.0
-,Western Ky.,3,6,6,0,0,6,0,60,20.0
46,Army West Point,3,8,7,0,0,2,0,61,20.3
47,Virginia,3,8,5,0,0,3,0,62,20.7
-,South Fla.,3,8,4,1,1,2,0,62,20.7
-,Miami (OH),3,7,6,1,0,4,0,62,20.7
50,Marshall,3,8,6,0,0,3,0,63,21.0
51,South Carolina,3,7,7,0,0,5,0,64,21.3
52,California,3,8,6,0,0,4,0,66,22.0
53,West Virginia,3,8,7,0,0,4,0,67,22.3
-,Cincinnati,3,8,8,0,0,3,1,67,22.3
-,Washington St.,3,8,8,0,0,3,1,67,22.3
56,Ball St.,3,8,6,1,0,4,0,68,22.7
-,Texas St.,3,7,6,0,0,6,1,68,22.7
-,Northwestern,3,8,8,0,0,4,0,68,22.7
59,Stanford,3,9,9,0,0,2,0,69,23.0
-,Oregon,3,9,9,0,0,2,0,69,23.0
-,Arkansas St.,2,5,5,0,0,3,1,46,23.0
-,BYU,4,10,9,0,0,7,1,92,23.0
63,NC State,3,8,8,0,0,5,0,71,23.7
64,Colorado St.,4,11,11,0,0,6,0,95,23.8
65,Florida St.,1,2,1,1,0,3,0,24,24.0
-,New Mexico,3,10,9,0,0,1,0,72,24.0
67,Wyoming,3,10,10,0,0,1,0,73,24.3
-,Fla. Atlantic,3,10,10,0,0,1,0,73,24.3
69,Tennessee,3,10,8,0,0,2,0,74,24.7
-,Boise St.,3,9,8,0,0,4,0,74,24.7
-,Ohio,3,9,8,0,0,4,0,74,24.7
72,Illinois,3,10,9,0,0,2,0,75,25.0
73,Old Dominion,3,10,9,1,0,2,0,77,25.7
-,Ole Miss,3,9,8,0,0,5,0,77,25.7
75,Georgia Tech,2,7,7,0,0,1,0,52,26.0
-,Texas,3,10,9,0,0,3,0,78,26.0
77,Southern California,3,10,10,0,0,3,0,79,26.3
78,Florida,2,5,5,0,0,6,0,53,26.5
79,Texas A&M;,3,10,9,1,0,3,0,80,26.7
80,UAB,3,10,8,1,1,3,0,81,27.0
81,Iowa St.,3,11,10,0,0,2,0,82,27.3
82,Texas Tech,2,7,7,0,0,2,0,55,27.5
83,Temple,3,11,11,0,0,2,0,83,27.7
84,Middle Tenn.,3,10,10,0,0,5,0,85,28.3
85,Maryland,2,8,7,0,0,1,0,58,29.0
-,UConn,2,7,7,0,0,3,0,58,29.0
-,Idaho,3,9,7,1,0,8,0,87,29.0
88,Toledo,3,12,10,0,0,2,0,88,29.3
89,UNLV,2,8,6,1,0,1,0,59,29.5
90,Fresno St.,3,12,11,0,0,2,0,89,29.7
91,South Ala.,3,11,10,0,0,5,0,91,30.3
92,Massachusetts,4,15,14,0,0,6,0,122,30.5
93,New Mexico St.,3,12,7,1,1,3,0,92,30.7
94,Tulane,3,13,13,0,0,0,1,93,31.0
95,Ga. Southern,2,8,7,1,0,2,0,63,31.5
96,Central Mich.,3,11,11,0,0,6,0,95,31.7
97,Akron,3,12,12,0,0,4,0,96,32.0
98,La.-Monroe,2,9,8,0,0,1,0,65,32.5
99,Nevada,3,11,11,0,0,7,0,98,32.7
100,Nebraska,3,13,13,0,0,2,1,99,33.0
-,Baylor,3,11,10,1,0,7,0,99,33.0
-,North Texas,3,13,13,0,0,2,1,99,33.0
-,Indiana,2,8,7,1,0,3,0,66,33.0
104,SMU,3,14,13,1,0,1,0,102,34.0
105,Louisiana Tech,3,14,11,1,0,2,0,103,34.3
-,Boston College,3,13,13,0,0,4,0,103,34.3
-,Kansas,3,13,11,1,0,4,0,103,34.3
108,North Carolina,3,14,12,0,0,3,0,105,35.0
-,Western Mich.,3,15,15,0,0,0,0,105,35.0
110,FIU,2,9,7,1,0,2,1,71,35.5
111,Kent St.,3,15,15,0,0,1,0,108,36.0
112,Missouri,3,15,14,1,0,1,0,109,36.3
-,Hawaii,3,15,14,0,1,1,0,109,36.3
114,Georgia St.,2,10,10,0,0,1,0,73,36.5
115,Louisville,3,15,14,0,0,2,0,110,36.7
116,Memphis,2,10,9,1,0,1,0,74,37.0
117,Arizona St.,3,15,11,0,0,4,0,113,37.7
-,Pittsburgh,3,15,15,0,0,2,1,113,37.7
119,Charlotte,3,15,15,0,0,3,0,114,38.0
-,Rice,3,15,15,0,0,3,0,114,38.0
121,UCLA,3,15,14,0,0,3,1,115,38.3
122,Utah St.,3,15,14,0,0,4,1,118,39.3
123,Bowling Green,3,17,17,0,0,0,0,119,39.7
124,San Jose St.,4,21,21,0,0,6,0,165,41.3
125,Oregon St.,4,25,20,1,0,6,0,190,47.5
126,UTEP,3,21,21,0,0,1,0,150,50.0
127,East Carolina,3,21,19,0,0,3,0,154,51.3
128,Tulsa,3,21,16,1,1,3,0,155,51.7
129,Louisiana,3,22,21,0,0,2,0,159,53.0
